Entity,Code,Year,Solar PV Module Cost (2019 US$ per W)
US,OWID_WRL,1976,106.0862215
US,OWID_WRL,1977,80.62552832
US,OWID_WRL,1978,56.22569738
US,OWID_WRL,1979,47.73879966
US,OWID_WRL,1980,35.00845309
US,OWID_WRL,1981,26.52155537
US,OWID_WRL,1982,22.27810651
US,OWID_WRL,1983,19.09551986
US,OWID_WRL,1984,16.97379544
US,OWID_WRL,1985,14.85207101
US,OWID_WRL,1986,11.13905325
US,OWID_WRL,1987,8.486897718
US,OWID_WRL,1988,7.532121724
US,OWID_WRL,1989,8.168639053
US,OWID_WRL,1990,8.805156382
US,OWID_WRL,1991,7.95646661
US,OWID_WRL,1992,7.21386306
US,OWID_WRL,1993,7.107776839
US,OWID_WRL,1994,6.365173288
US,OWID_WRL,1995,5.834742181
US,OWID_WRL,1996,6.046914624
US,OWID_WRL,1997,6.365173288
US,OWID_WRL,1998,5.728655959
US,OWID_WRL,1999,5.092138631
US,OWID_WRL,2000,4.879966188
US,OWID_WRL,2001,4.773879966
US,OWID_WRL,2002,4.031276416
US,OWID_WRL,2003,3.978233305
US,OWID_WRL,2004,4.137362637
US,OWID_WRL,2005,4.243448859
US,OWID_WRL,2006,4.455621302
US,OWID_WRL,2007,4.137362637
US,OWID_WRL,2008,3.447802198
US,OWID_WRL,2009,2.386939983
US,OWID_WRL,2010,2.04475
US,OWID_WRL,2011,1.67725
US,OWID_WRL,2012,0.876416667
US,OWID_WRL,2013,0.696333333
US,OWID_WRL,2014,0.6415
US,OWID_WRL,2015,0.5965
US,OWID_WRL,2016,0.5505
US,OWID_WRL,2017,0.462166667
US,OWID_WRL,2018,0.4115
US,OWID_WRL,2019,0.37725