,year,Â value
0,1997,4.315
1,1998,3.5683333333333334
2,1999,3.876666666666667
3,2000,7.526666666666666
4,2001,5.665
5,2002,5.429166666666667
6,2003,8.579166666666667
7,2004,8.965833333333334
8,2005,13.141666666666666
9,2006,9.25
10,2007,9.614166666666668
11,2008,11.5625
12,2009,5.14
13,2010,5.524166666666667
14,2011,5.066666666666666
15,2012,3.4499999999999997
16,2013,4.566666666666666
17,2014,5.113333333333333
18,2015,3.0700000000000003
19,2016,3.0966666666666662
20,2017,3.4933333333333336
21,2018,3.5233333333333334
22,2019,2.8033333333333332
23,2020,2.2416666666666667
24,2021,3.919166666666667
25,2022,5.13
