,Year,Average_Temp,State,percipitation
0,1990,64.9,Alabama,56.87
1,1991,64.0,Alabama,63.25
2,1992,62.1,Alabama,59.79
3,1993,62.3,Alabama,50.28
4,1994,63.0,Alabama,60.33
5,1995,63.0,Alabama,59.57
6,1996,62.1,Alabama,58.33
7,1997,62.4,Alabama,62.96
8,1998,65.1,Alabama,59.26
9,1999,64.1,Alabama,49.01
10,2000,63.6,Alabama,42.49
11,2001,63.0,Alabama,59.04
12,2002,63.6,Alabama,57.13
13,2003,62.7,Alabama,63.72
14,2004,63.3,Alabama,59.88
15,2005,63.4,Alabama,57.08
16,2006,64.2,Alabama,47.54
17,2007,64.4,Alabama,37.86
18,2008,62.9,Alabama,53.07
19,2009,62.9,Alabama,73.77
20,2010,62.7,Alabama,47.19
21,2011,63.8,Alabama,50.71
22,2012,64.9,Alabama,53.38
23,2013,62.6,Alabama,64.70
24,2014,62.0,Alabama,56.03
25,2015,64.6,Alabama,61.36
26,2016,65.3,Alabama,45.01
27,2017,65.0,Alabama,64.19
28,2018,64.5,Alabama,64.40
29,2019,65.4,Alabama,56.30
30,2020,64.9,Alabama,68.67
31,1990,59.7,Arizona,14.08
32,1991,59.2,Arizona,12.91
33,1992,59.6,Arizona,18.15
34,1993,59.8,Arizona,16.77
35,1994,60.6,Arizona,12.45
36,1995,61.0,Arizona,11.44
37,1996,61.9,Arizona,8.74
38,1997,60.5,Arizona,12.71
39,1998,59.3,Arizona,14.44
40,1999,60.8,Arizona,10.37
41,2000,61.7,Arizona,11.13
42,2001,61.2,Arizona,10.79
43,2002,61.2,Arizona,6.97
44,2003,61.9,Arizona,10.51
45,2004,60.4,Arizona,13.52
46,2005,61.1,Arizona,13.09
47,2006,61.1,Arizona,9.76
48,2007,61.6,Arizona,10.99
49,2008,60.6,Arizona,12.31
50,2009,61.1,Arizona,7.03
51,2010,60.4,Arizona,13.91
52,2011,60.3,Arizona,9.63
53,2012,62.1,Arizona,9.56
54,2013,60.4,Arizona,12.13
55,2014,62.2,Arizona,11.07
56,2015,61.8,Arizona,14.39
57,2016,62.2,Arizona,12.28
58,2017,63.0,Arizona,9.47
59,2018,62.3,Arizona,11.67
60,2019,60.3,Arizona,14.69
61,2020,62.6,Arizona,6.56
62,1990,61.8,Arkansas,66.91
63,1991,61.3,Arkansas,61.52
64,1992,59.9,Arkansas,48.26
65,1993,59.3,Arkansas,52.04
66,1994,60.4,Arkansas,54.39
67,1995,60.5,Arkansas,42.84
68,1996,59.6,Arkansas,51.75
69,1997,59.7,Arkansas,51.93
70,1998,63.1,Arkansas,49.17
71,1999,62.1,Arkansas,43.80
72,2000,60.9,Arkansas,45.70
73,2001,61.2,Arkansas,55.41
74,2002,60.6,Arkansas,52.83
75,2003,60.3,Arkansas,44.84
76,2004,61.0,Arkansas,57.02
77,2005,62.0,Arkansas,35.75
78,2006,62.0,Arkansas,49.33
79,2007,61.8,Arkansas,46.70
80,2008,59.9,Arkansas,60.48
81,2009,59.9,Arkansas,72.20
82,2010,61.2,Arkansas,38.79
83,2011,61.8,Arkansas,55.84
84,2012,63.6,Arkansas,39.81
85,2013,59.6,Arkansas,54.24
86,2014,58.7,Arkansas,47.91
87,2015,61.4,Arkansas,67.31
88,2016,62.8,Arkansas,50.44
89,2017,62.5,Arkansas,50.26
90,2018,61.2,Arkansas,64.32
91,2019,61.2,Arkansas,65.65
92,2020,61.1,Arkansas,63.82
93,1990,58.0,California,13.99
94,1991,58.1,California,19.79
95,1992,59.3,California,23.23
96,1993,57.7,California,26.70
97,1994,58.0,California,17.54
98,1995,58.9,California,35.20
99,1996,59.6,California,32.51
100,1997,59.1,California,20.60
101,1998,56.7,California,36.41
102,1999,58.0,California,17.63
103,2000,58.8,California,21.43
104,2001,59.1,California,23.02
105,2002,58.8,California,18.68
106,2003,59.4,California,21.63
107,2004,58.9,California,21.76
108,2005,58.6,California,30.10
109,2006,58.6,California,23.61
110,2007,58.9,California,13.83
111,2008,58.9,California,17.85
112,2009,58.8,California,17.05
113,2010,57.7,California,31.18
114,2011,57.4,California,18.79
115,2012,59.5,California,23.45
116,2013,59.3,California,7.93
117,2014,61.4,California,19.90
118,2015,60.8,California,15.04
119,2016,60.1,California,25.73
120,2017,60.3,California,28.17
121,2018,60.1,California,18.09
122,2019,58.4,California,29.12
123,2020,60.5,California,12.07
124,1990,45.6,Colorado,19.90
125,1991,45.0,Colorado,18.65
126,1992,45.3,Colorado,18.53
127,1993,43.8,Colorado,19.90
128,1994,46.5,Colorado,17.13
129,1995,45.7,Colorado,21.79
130,1996,45.8,Colorado,19.85
131,1997,44.8,Colorado,22.24
132,1998,46.2,Colorado,18.77
133,1999,46.6,Colorado,20.03
134,2000,47.0,Colorado,16.91
135,2001,46.8,Colorado,16.81
136,2002,46.1,Colorado,11.85
137,2003,47.0,Colorado,16.44
138,2004,45.8,Colorado,18.93
139,2005,46.8,Colorado,18.95
140,2006,46.5,Colorado,18.67
141,2007,46.2,Colorado,18.71
142,2008,44.9,Colorado,17.46
143,2009,45.2,Colorado,18.79
144,2010,46.2,Colorado,18.19
145,2011,45.4,Colorado,17.62
146,2012,48.3,Colorado,12.31
147,2013,45.1,Colorado,18.79
148,2014,46.1,Colorado,19.14
149,2015,47.4,Colorado,21.73
150,2016,47.3,Colorado,17.08
151,2017,47.9,Colorado,18.91
152,2018,47.2,Colorado,14.96
153,2019,45.3,Colorado,18.91
154,2020,47.3,Colorado,12.23
155,1990,51.1,Connecticut,55.68
156,1991,51.0,Connecticut,47.77
157,1992,47.7,Connecticut,48.79
158,1993,48.6,Connecticut,45.75
159,1994,48.9,Connecticut,50.41
160,1995,49.0,Connecticut,42.29
161,1996,48.4,Connecticut,60.30
162,1997,48.6,Connecticut,42.68
163,1998,51.6,Connecticut,50.08
164,1999,50.8,Connecticut,49.15
165,2000,48.5,Connecticut,48.74
166,2001,50.2,Connecticut,39.54
167,2002,50.5,Connecticut,47.42
168,2003,48.2,Connecticut,56.12
169,2004,48.8,Connecticut,48.61
170,2005,49.5,Connecticut,54.68
171,2006,51.1,Connecticut,57.01
172,2007,49.5,Connecticut,45.54
173,2008,49.7,Connecticut,59.53
174,2009,48.8,Connecticut,50.50
175,2010,51.4,Connecticut,48.54
176,2011,50.9,Connecticut,63.69
177,2012,52.5,Connecticut,39.39
178,2013,49.8,Connecticut,43.39
179,2014,48.7,Connecticut,45.01
180,2015,49.8,Connecticut,37.08
181,2016,51.8,Connecticut,36.73
182,2017,50.9,Connecticut,44.10
183,2018,50.8,Connecticut,62.16
184,2019,49.8,Connecticut,53.91
185,2020,51.8,Connecticut,43.37
186,1990,57.2,Delaware,43.03
187,1991,56.9,Delaware,41.84
188,1992,53.9,Delaware,40.54
189,1993,54.8,Delaware,44.44
190,1994,55.0,Delaware,47.31
191,1995,55.1,Delaware,38.39
192,1996,54.0,Delaware,57.90
193,1997,54.8,Delaware,41.11
194,1998,57.4,Delaware,41.54
195,1999,56.5,Delaware,45.64
196,2000,54.7,Delaware,46.19
197,2001,56.1,Delaware,39.22
198,2002,57.2,Delaware,46.47
199,2003,54.6,Delaware,57.82
200,2004,55.8,Delaware,44.71
201,2005,55.7,Delaware,46.87
202,2006,57.3,Delaware,46.76
203,2007,56.3,Delaware,38.40
204,2008,56.3,Delaware,42.61
205,2009,55.4,Delaware,55.94
206,2010,56.7,Delaware,40.56
207,2011,57.4,Delaware,44.56
208,2012,58.5,Delaware,39.32
209,2013,55.8,Delaware,50.75
210,2014,54.7,Delaware,45.00
211,2015,56.4,Delaware,46.27
212,2016,57.4,Delaware,45.67
213,2017,57.6,Delaware,44.53
214,2018,57.1,Delaware,60.02
215,2019,57.5,Delaware,41.02
216,2020,58.0,Delaware,55.92
217,1990,72.5,Florida,42.61
218,1991,71.8,Florida,62.61
219,1992,70.3,Florida,56.18
220,1993,70.3,Florida,49.91
221,1994,71.6,Florida,64.78
222,1995,70.8,Florida,59.10
223,1996,69.9,Florida,53.96
224,1997,71.1,Florida,59.65
225,1998,72.5,Florida,57.05
226,1999,71.2,Florida,49.69
227,2000,70.6,Florida,40.29
228,2001,70.9,Florida,52.21
229,2002,71.3,Florida,58.49
230,2003,70.9,Florida,58.77
231,2004,70.8,Florida,57.22
232,2005,70.8,Florida,59.48
233,2006,71.4,Florida,41.00
234,2007,71.8,Florida,43.72
235,2008,70.8,Florida,53.13
236,2009,71.2,Florida,53.77
237,2010,69.2,Florida,48.12
238,2011,71.7,Florida,46.77
239,2012,71.9,Florida,55.09
240,2013,71.7,Florida,56.87
241,2014,70.6,Florida,59.13
242,2015,73.4,Florida,52.86
243,2016,72.5,Florida,53.41
244,2017,72.8,Florida,58.63
245,2018,72.3,Florida,60.52
246,2019,73.2,Florida,52.10
247,2020,73.2,Florida,57.98
248,1990,65.7,Georgia,44.85
249,1991,64.5,Georgia,57.84
250,1992,62.7,Georgia,58.74
251,1993,63.2,Georgia,45.86
252,1994,63.6,Georgia,61.23
253,1995,63.5,Georgia,49.67
254,1996,62.6,Georgia,48.70
255,1997,63.2,Georgia,57.29
256,1998,65.7,Georgia,52.90
257,1999,64.5,Georgia,40.86
258,2000,63.3,Georgia,41.38
259,2001,63.9,Georgia,41.80
260,2002,64.4,Georgia,49.72
261,2003,63.3,Georgia,57.23
262,2004,64.0,Georgia,52.16
263,2005,63.8,Georgia,54.74
264,2006,64.5,Georgia,39.00
265,2007,64.8,Georgia,38.07
266,2008,63.5,Georgia,46.99
267,2009,63.4,Georgia,61.48
268,2010,63.0,Georgia,43.04
269,2011,64.6,Georgia,40.11
270,2012,65.5,Georgia,42.02
271,2013,63.4,Georgia,63.49
272,2014,63.0,Georgia,51.41
273,2015,65.3,Georgia,55.74
274,2016,65.8,Georgia,40.90
275,2017,65.8,Georgia,49.80
276,2018,65.1,Georgia,60.80
277,2019,66.2,Georgia,47.89
278,2020,65.6,Georgia,60.46
279,1990,43.5,Idaho,23.41
280,1991,43.3,Idaho,22.42
281,1992,45.0,Idaho,18.96
282,1993,40.9,Idaho,24.08
283,1994,44.3,Idaho,20.39
284,1995,43.6,Idaho,31.11
285,1996,43.2,Idaho,32.10
286,1997,43.2,Idaho,25.28
287,1998,44.3,Idaho,28.95
288,1999,43.6,Idaho,22.64
289,2000,43.9,Idaho,20.89
290,2001,44.2,Idaho,19.13
291,2002,43.0,Idaho,18.98
292,2003,45.4,Idaho,22.56
293,2004,44.2,Idaho,23.18
294,2005,43.6,Idaho,24.58
295,2006,44.2,Idaho,26.38
296,2007,44.8,Idaho,19.56
297,2008,42.5,Idaho,21.97
298,2009,42.8,Idaho,22.88
299,2010,43.3,Idaho,26.14
300,2011,42.4,Idaho,24.69
301,2012,45.1,Idaho,25.71
302,2013,43.7,Idaho,17.64
303,2014,45.1,Idaho,26.47
304,2015,46.4,Idaho,22.52
305,2016,45.1,Idaho,24.88
306,2017,44.3,Idaho,28.83
307,2018,44.5,Idaho,21.88
308,2019,43.0,Idaho,23.41
309,2020,44.3,Idaho,22.19
310,1990,53.6,Illinois,49.94
311,1991,53.7,Illinois,36.12
312,1992,51.9,Illinois,35.81
313,1993,50.9,Illinois,51.18
314,1994,52.0,Illinois,35.51
315,1995,51.6,Illinois,38.91
316,1996,50.1,Illinois,38.82
317,1997,51.0,Illinois,35.10
318,1998,55.2,Illinois,44.49
319,1999,53.5,Illinois,35.71
320,2000,52.2,Illinois,39.77
321,2001,53.4,Illinois,39.65
322,2002,53.2,Illinois,39.06
323,2003,51.7,Illinois,37.78
324,2004,52.6,Illinois,39.97
325,2005,53.7,Illinois,31.43
326,2006,54.0,Illinois,40.64
327,2007,53.7,Illinois,36.69
328,2008,50.9,Illinois,50.17
329,2009,51.4,Illinois,50.96
330,2010,52.9,Illinois,40.68
331,2011,53.1,Illinois,46.10
332,2012,55.8,Illinois,30.11
333,2013,51.1,Illinois,42.49
334,2014,49.5,Illinois,41.29
335,2015,52.9,Illinois,48.80
336,2016,54.7,Illinois,39.75
337,2017,54.4,Illinois,37.80
338,2018,52.5,Illinois,45.79
339,2019,52.1,Illinois,49.86
340,2020,53.3,Illinois,41.94
341,1990,53.3,Indiana,53.54
342,1991,53.7,Indiana,36.31
343,1992,51.3,Indiana,40.34
344,1993,50.8,Indiana,48.59
345,1994,51.5,Indiana,35.56
346,1995,51.5,Indiana,38.26
347,1996,50.0,Indiana,47.67
348,1997,50.5,Indiana,39.80
349,1998,55.0,Indiana,44.88
350,1999,53.2,Indiana,35.04
351,2000,51.6,Indiana,43.40
352,2001,53.2,Indiana,43.96
353,2002,53.1,Indiana,42.19
354,2003,51.1,Indiana,46.40
355,2004,52.2,Indiana,43.40
356,2005,52.8,Indiana,40.89
357,2006,53.4,Indiana,51.02
358,2007,53.3,Indiana,41.79
359,2008,51.0,Indiana,49.69
360,2009,51.3,Indiana,46.06
361,2010,52.6,Indiana,37.39
362,2011,53.1,Indiana,55.20
363,2012,55.1,Indiana,33.82
364,2013,51.2,Indiana,45.14
365,2014,49.4,Indiana,43.57
366,2015,52.3,Indiana,47.51
367,2016,54.2,Indiana,43.38
368,2017,54.0,Indiana,45.61
369,2018,52.6,Indiana,50.03
370,2019,52.4,Indiana,49.52
371,2020,53.3,Indiana,42.40
372,1990,49.5,Iowa,38.91
373,1991,48.6,Iowa,37.74
374,1992,47.8,Iowa,36.21
375,1993,45.7,Iowa,47.88
376,1994,47.5,Iowa,29.55
377,1995,47.3,Iowa,32.26
378,1996,45.2,Iowa,33.66
379,1997,47.1,Iowa,29.21
380,1998,50.9,Iowa,39.57
381,1999,49.7,Iowa,32.28
382,2000,48.6,Iowa,29.73
383,2001,49.1,Iowa,34.59
384,2002,49.2,Iowa,29.48
385,2003,47.9,Iowa,28.69
386,2004,48.5,Iowa,35.41
387,2005,49.6,Iowa,29.84
388,2006,50.4,Iowa,32.40
389,2007,48.9,Iowa,42.41
390,2008,45.9,Iowa,42.92
391,2009,46.7,Iowa,39.15
392,2010,48.2,Iowa,44.05
393,2011,48.4,Iowa,31.83
394,2012,52.1,Iowa,25.61
395,2013,46.7,Iowa,34.44
396,2014,45.5,Iowa,38.69
397,2015,49.3,Iowa,42.53
398,2016,50.7,Iowa,38.10
399,2017,50.0,Iowa,32.36
400,2018,47.5,Iowa,45.08
401,2019,46.8,Iowa,41.63
402,2020,49.2,Iowa,29.28
403,1990,55.5,Kansas,27.93
404,1991,55.7,Kansas,23.15
405,1992,54.2,Kansas,33.79
406,1993,51.9,Kansas,38.47
407,1994,54.9,Kansas,25.00
408,1995,53.9,Kansas,29.68
409,1996,53.1,Kansas,30.76
410,1997,53.7,Kansas,30.29
411,1998,56.3,Kansas,32.31
412,1999,56.0,Kansas,30.26
413,2000,55.5,Kansas,25.48
414,2001,55.9,Kansas,27.75
415,2002,55.2,Kansas,22.44
416,2003,55.0,Kansas,25.11
417,2004,55.1,Kansas,30.91
418,2005,55.9,Kansas,29.60
419,2006,56.9,Kansas,24.73
420,2007,55.1,Kansas,33.26
421,2008,53.6,Kansas,33.34
422,2009,53.6,Kansas,31.80
423,2010,55.3,Kansas,27.84
424,2011,55.2,Kansas,24.17
425,2012,58.2,Kansas,19.29
426,2013,53.7,Kansas,29.03
427,2014,53.7,Kansas,25.43
428,2015,56.3,Kansas,32.78
429,2016,57.2,Kansas,30.68
430,2017,56.5,Kansas,29.03
431,2018,54.6,Kansas,31.85
432,2019,53.8,Kansas,36.03
433,2020,55.6,Kansas,25.85
434,1990,57.3,Kentucky,55.41
435,1991,57.4,Kentucky,46.03
436,1992,55.1,Kentucky,42.79
437,1993,55.0,Kentucky,46.87
438,1994,55.4,Kentucky,48.66
439,1995,55.4,Kentucky,47.95
440,1996,54.4,Kentucky,56.75
441,1997,54.5,Kentucky,49.05
442,1998,58.2,Kentucky,49.32
443,1999,57.3,Kentucky,38.09
444,2000,55.7,Kentucky,45.29
445,2001,56.6,Kentucky,45.43
446,2002,56.8,Kentucky,53.51
447,2003,55.2,Kentucky,55.98
448,2004,56.4,Kentucky,55.94
449,2005,56.8,Kentucky,39.80
450,2006,56.8,Kentucky,52.37
451,2007,57.7,Kentucky,41.86
452,2008,55.4,Kentucky,46.51
453,2009,55.4,Kentucky,54.35
454,2010,56.0,Kentucky,43.54
455,2011,56.9,Kentucky,64.35
456,2012,58.4,Kentucky,43.21
457,2013,55.0,Kentucky,55.78
458,2014,54.3,Kentucky,47.11
459,2015,56.6,Kentucky,58.31
460,2016,57.9,Kentucky,49.19
461,2017,57.8,Kentucky,50.26
462,2018,57.0,Kentucky,63.74
463,2019,57.5,Kentucky,61.32
464,2020,57.1,Kentucky,58.11
465,1990,67.8,Louisiana,58.77
466,1991,66.9,Louisiana,79.48
467,1992,65.8,Louisiana,66.56
468,1993,65.6,Louisiana,58.94
469,1994,66.5,Louisiana,59.07
470,1995,66.8,Louisiana,62.33
471,1996,66.2,Louisiana,53.08
472,1997,66.0,Louisiana,64.31
473,1998,68.6,Louisiana,62.98
474,1999,67.8,Louisiana,47.84
475,2000,67.2,Louisiana,47.80
476,2001,66.7,Louisiana,68.31
477,2002,66.6,Louisiana,64.27
478,2003,66.4,Louisiana,51.95
479,2004,67.1,Louisiana,72.48
480,2005,67.5,Louisiana,45.57
481,2006,67.8,Louisiana,55.40
482,2007,67.4,Louisiana,52.42
483,2008,66.6,Louisiana,56.13
484,2009,66.8,Louisiana,64.04
485,2010,66.5,Louisiana,41.76
486,2011,67.7,Louisiana,43.01
487,2012,68.7,Louisiana,62.88
488,2013,66.2,Louisiana,61.43
489,2014,65.1,Louisiana,55.94
490,2015,68.1,Louisiana,67.31
491,2016,68.7,Louisiana,67.08
492,2017,68.7,Louisiana,64.06
493,2018,67.8,Louisiana,66.39
494,2019,67.7,Louisiana,61.87
495,2020,68.2,Louisiana,66.96
496,1990,42.4,Maine,51.18
497,1991,41.7,Maine,44.24
498,1992,39.8,Maine,37.50
499,1993,40.0,Maine,43.61
500,1994,40.4,Maine,41.68
501,1995,40.9,Maine,42.72
502,1996,41.0,Maine,51.39
503,1997,39.8,Maine,39.51
504,1998,43.5,Maine,45.24
505,1999,43.8,Maine,46.35
506,2000,40.9,Maine,43.15
507,2001,42.7,Maine,29.83
508,2002,41.7,Maine,40.98
509,2003,40.4,Maine,46.02
510,2004,40.4,Maine,38.80
511,2005,41.8,Maine,61.59
512,2006,44.0,Maine,51.65
513,2007,40.7,Maine,47.63
514,2008,41.6,Maine,56.02
515,2009,40.9,Maine,49.46
516,2010,44.6,Maine,49.31
517,2011,42.8,Maine,50.04
518,2012,43.9,Maine,47.38
519,2013,42.0,Maine,45.61
520,2014,41.2,Maine,49.45
521,2015,41.2,Maine,43.16
522,2016,43.3,Maine,41.36
523,2017,42.4,Maine,45.32
524,2018,41.8,Maine,46.45
525,2019,40.7,Maine,49.99
526,2020,43.5,Maine,40.63
527,1990,56.6,Maryland,46.27
528,1991,56.5,Maryland,35.79
529,1992,53.5,Maryland,42.32
530,1993,54.2,Maryland,45.72
531,1994,54.4,Maryland,45.83
532,1995,54.4,Maryland,39.53
533,1996,53.2,Maryland,58.97
